GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC02
Id,Id2,Geography,Mean income (dollars); Estimate; All households
0500000US28047,28047,"Harrison County, Mississippi",59544
0500000US28049,28049,"Hinds County, Mississippi",60318
0500000US28059,28059,"Jackson County, Mississippi",65968
0500000US28067,28067,"Jones County, Mississippi",52350
0500000US28075,28075,"Lauderdale County, Mississippi",71447
0500000US28081,28081,"Lee County, Mississippi",71317
0500000US28089,28089,"Madison County, Mississippi",95933
0500000US28121,28121,"Rankin County, Mississippi",78309
0500000US29019,29019,"Boone County, Missouri",71990
0500000US29021,29021,"Buchanan County, Missouri",62070
0500000US29031,29031,"Cape Girardeau County, Missouri",61871
0500000US29037,29037,"Cass County, Missouri",80194
0500000US29043,29043,"Christian County, Missouri",73702
0500000US29047,29047,"Clay County, Missouri",87877
0500000US29051,29051,"Cole County, Missouri",74010
0500000US29071,29071,"Franklin County, Missouri",69252
0500000US29077,29077,"Greene County, Missouri",62748
0500000US29095,29095,"Jackson County, Missouri",71983
0500000US29097,29097,"Jasper County, Missouri",56717
0500000US29099,29099,"Jefferson County, Missouri",74875
0500000US29165,29165,"Platte County, Missouri",95178
0500000US29183,29183,"St. Charles County, Missouri",98603
0500000US29187,29187,"St. Francois County, Missouri",53905
0500000US29189,29189,"St. Louis County, Missouri",94707
0500000US29510,29510,"St. Louis city, Missouri",61530
0500000US30013,30013,"Cascade County, Montana",69810
0500000US30029,30029,"Flathead County, Montana",74396
0500000US30031,30031,"Gallatin County, Montana",82490
0500000US30049,30049,"Lewis and Clark County, Montana",75089
0500000US30063,30063,"Missoula County, Montana",72218
0500000US30111,30111,"Yellowstone County, Montana",78761
0500000US31055,31055,"Douglas County, Nebraska",85168
0500000US31109,31109,"Lancaster County, Nebraska",77991
0500000US31153,31153,"Sarpy County, Nebraska",93348
0500000US32003,32003,"Clark County, Nevada",78422
0500000US32031,32031,"Washoe County, Nevada",84135
0500000US33005,33005,"Cheshire County, New Hampshire",75715
0500000US33009,33009,"Grafton County, New Hampshire",87534
0500000US33011,33011,"Hillsborough County, New Hampshire",100105
0500000US33013,33013,"Merrimack County, New Hampshire",87823
0500000US33015,33015,"Rockingham County, New Hampshire",113596
0500000US33017,33017,"Strafford County, New Hampshire",83060
0500000US34001,34001,"Atlantic County, New Jersey",81145
0500000US34003,34003,"Bergen County, New Jersey",129575
