GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC03_EST_VC02,HC05_EST_VC02,HC01_EST_VC06,HC01_EST_VC08,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Graduate or professional degree
0500000US36083,36083,"Rensselaer County, New York",17428,9555,7873,3255,111047,15125
0500000US36085,36085,"Richmond County, New York",40537,20497,20040,7461,334079,44531
0500000US36087,36087,"Rockland County, New York",31067,15626,15441,5077,205985,37732
0500000US36089,36089,"St. Lawrence County, New York",15226,8163,7063,1204,72555,9163
0500000US36091,36091,"Saratoga County, New York",18801,9421,9380,3624,164414,31278
0500000US36093,36093,"Schenectady County, New York",14583,7963,6620,1508,107453,12751
0500000US36101,36101,"Steuben County, New York",7483,3806,3677,857,68011,7445
0500000US36103,36103,"Suffolk County, New York",136628,70389,66239,23418,1036946,169968
0500000US36105,36105,"Sullivan County, New York",6823,3834,2989,892,53310,6145
0500000US36109,36109,"Tompkins County, New York",27696,14656,13040,7296,61921,18616
0500000US36111,36111,"Ulster County, New York",16451,8846,7605,1858,130912,19314
0500000US36113,36113,"Warren County, New York",4587,2388,2199,566,48385,7826
0500000US36117,36117,"Wayne County, New York",7516,3987,3529,726,63605,5070
0500000US36119,36119,"Westchester County, New York",87411,43475,43936,21144,675568,164186
0500000US37001,37001,"Alamance County, North Carolina",15887,7647,8240,947,109959,8615
0500000US37019,37019,"Brunswick County, North Carolina",7097,4438,2659,474,102846,11729
0500000US37021,37021,"Buncombe County, North Carolina",20040,9611,10429,2390,189252,29108
0500000US37023,37023,"Burke County, North Carolina",7924,4757,3167,413,64167,4597
0500000US37025,37025,"Cabarrus County, North Carolina",15858,8379,7479,1335,137026,15573
0500000US37027,37027,"Caldwell County, North Carolina",6682,3214,3468,278,58662,4108
0500000US37031,37031,"Carteret County, North Carolina",4287,2233,2054,174,51901,5278
0500000US37035,37035,"Catawba County, North Carolina",13745,6929,6816,1093,108709,7141
0500000US37037,37037,"Chatham County, North Carolina",3442,1460,1982,628,53297,9040
0500000US37045,37045,"Cleveland County, North Carolina",9339,4877,4462,319,66378,4220
0500000US37049,37049,"Craven County, North Carolina",12687,7969,4718,411,66794,6305
